,game,Genre,ESRB_Rating,Platform,Publisher,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
19,grand theft auto v,Action,M,PS3,Rockstar Games,9.4,20.32,6.37,9.85,0.99,3.12,2013.0
20,grand theft auto v,Action,M,PS4,Rockstar Games,9.7,19.39,6.06,9.71,0.6,3.02,2014.0
30,grand theft auto vice city,Action,M,PS2,Rockstar Games,9.6,16.15,8.41,5.49,0.47,1.78,2002.0
40,call of duty modern warfare 3,Shooter,M,X360,Activision,8.7,14.82,9.07,4.29,0.13,1.33,2011.0
41,call of duty black ops,Shooter,M,X360,Activision,8.8,14.74,9.76,3.73,0.11,1.14,2010.0
45,red dead redemption 2,Action Adventure,M,PS4,Rockstar Games,9.8,13.94,5.26,6.21,0.21,2.26,2018.0
49,call of duty modern warfare 2,Shooter,M,X360,Activision,9.5,13.53,8.54,3.63,0.08,1.28,2009.0
50,call of duty wwii,Shooter,M,PS4,Activision,8.0,13.4,4.67,6.21,0.4,2.12,2017.0
51,call of duty modern warfare 3,Shooter,M,PS3,Activision,8.8,13.35,5.54,5.78,0.49,1.54,2011.0
53,grand theft auto iii,Action,M,PS2,Rockstar Games,9.5,13.1,6.99,4.51,0.3,1.3,2001.0
59,call of duty black ops,Shooter,M,PS3,Activision,8.7,12.67,6.01,4.4,0.48,1.78,2010.0
68,fifa 18,Sports,E,PS4,EA Sports,8.3,11.8,1.27,8.64,0.15,1.73,2017.0
73,grand theft auto iv,Action,M,X360,Rockstar Games,10.0,11.09,6.8,3.11,0.14,1.04,2008.0
76,fifa 17,Sports,E,PS4,Electronic Arts,8.9,10.94,1.26,7.95,0.12,1.61,2016.0
78,call of duty modern warfare 2,Shooter,M,PS3,Activision,9.5,10.61,4.99,3.66,0.38,1.59,2009.0
79,grand theft auto iv,Action,M,PS3,Rockstar Games,10.0,10.57,4.79,3.73,0.44,1.62,2008.0
81,call of duty ghosts,Shooter,M,X360,Activision,6.9,10.41,6.76,2.64,0.04,0.98,2013.0
83,call of duty ghosts,Shooter,M,PS3,Activision,7.5,10.13,4.11,4.01,0.39,1.62,2013.0
87,halo reach,Shooter,M,X360,Microsoft Game Studios,9.3,9.97,7.08,2.01,0.08,0.8,2010.0
94,call of duty 4 modern warfare,Shooter,M,X360,Activision,9.6,9.41,5.98,2.39,0.13,0.91,2007.0
104,the elder scrolls v skyrim,Role Playing,M,X360,Bethesda Softworks,9.3,8.88,5.1,2.83,0.1,0.85,2011.0
107,grand theft auto v,Action,M,XOne,Rockstar Games,9.0,8.72,4.7,3.25,0.01,0.76,2014.0
113,fallout 4,Role Playing,M,PS4,Bethesda Softworks,8.6,8.48,2.91,3.97,0.27,1.34,2015.0
118,fifa 16,Sports,E,PS4,EA Sports,8.5,8.22,1.15,5.77,0.07,1.23,2015.0
120,star wars battlefront 2015,Shooter,T,PS4,Electronic Arts,7.1,8.03,3.31,3.19,0.23,1.3,2015.0
124,grand theft auto liberty city stories,Action,M,PSP,Rockstar Games,8.8,7.72,2.9,2.83,0.24,1.74,2005.0
128,crash bandicoot 2 cortex strikes back,Platform,E,PS,Sony Computer Entertainment,8.6,7.58,3.78,2.17,1.31,0.31,1997.0
129,call of duty advanced warfare,Shooter,M,PS4,Activision,8.5,7.53,2.84,3.34,0.14,1.22,2014.0
135,battlefield 3,Shooter,M,X360,Electronic Arts,8.5,7.35,4.47,2.12,0.06,0.69,2011.0
138,battlefield 3,Shooter,M,PS3,Electronic Arts,8.5,7.21,2.86,2.94,0.35,1.07,2011.0
139,need for speed underground,Racing,E,PS2,Electronic Arts,8.6,7.2,3.27,2.83,0.08,1.02,2003.0
141,crash bandicoot 3 warped,Platform,E,PS,Sony Computer Entertainment,9.3,7.13,3.68,1.75,1.42,0.28,1998.0
144,need for speed underground 2,Racing,E,PS2,Electronic Arts,8.3,6.9,2.71,3.02,0.08,1.09,2004.0
147,uncharted 3 drakes deception,Action,T,PS3,Sony Computer Entertainment,9.3,6.84,2.77,2.81,0.19,1.06,2011.0
148,medal of honor frontline,Shooter,T,PS2,Electronic Arts,9.0,6.83,2.93,2.75,0.17,0.99,2002.0
151,uncharted 2 among thieves,Action,T,PS3,Sony Computer Entertainment,9.5,6.74,3.28,2.22,0.21,1.02,2009.0
152,call of duty 4 modern warfare,Shooter,M,PS3,Activision,9.5,6.72,3.13,2.27,0.28,1.04,2007.0
153,fifa soccer 12,Sports,E,PS3,EA Sports,9.2,6.65,0.84,4.33,0.11,1.37,2011.0
155,red dead redemption,Action,M,PS3,Rockstar Games,9.5,6.57,2.82,2.58,0.17,1.0,2011.0
158,assassins creed iii,Action Adventure,M,PS3,Ubisoft,8.8,6.5,2.65,2.61,0.16,1.08,2012.0
160,red dead redemption,Action,M,X360,Rockstar Games,9.5,6.5,3.77,2.03,0.09,0.6,2010.0
161,the elder scrolls v skyrim,Role Playing,M,PS3,Bethesda Softworks,9.0,6.49,2.57,2.68,0.25,0.99,2011.0
165,halo 3 odst,Shooter,M,X360,Microsoft Game Studios,8.7,6.35,4.34,1.34,0.06,0.61,2009.0
166,minecraft,Misc,E10,PS4,Sony Computer Entertainment,9.4,6.33,1.89,3.13,0.35,0.96,2014.0
167,fifa 15,Sports,E,PS4,EA Sports,8.1,6.32,0.83,4.49,0.05,0.94,2014.0
170,the last of us,Action Adventure,M,PS3,Sony Computer Entertainment America,9.5,6.27,2.41,2.57,0.29,0.99,2013.0
171,driver,Action,T,PS,GT Interactive,8.5,6.27,3.11,2.8,0.02,0.33,1999.0
173,god of war 2018,Action,M,PS4,Sony Interactive Entertainment,9.7,6.15,2.83,2.17,0.13,1.02,2018.0
176,metal gear solid 2 sons of liberty,Action,M,PS2,Konami,9.5,6.05,2.45,2.01,0.87,0.72,2001.0
180,metal gear solid 4 guns of the patriots,Action,M,PS3,Konami,9.3,6.0,2.63,1.72,0.83,0.81,2008.0
184,littlebigplanet,Platform,E,PS3,Sony Computer Entertainment,9.4,5.85,2.8,2.01,0.17,0.87,2008.0
192,tekken 2,Fighting,T,PS,Namco,9.1,5.74,2.26,1.89,1.36,0.23,1996.0
196,cooking mama,Simulation,E,DS,Majesco,6.6,5.66,3.09,1.92,0.07,0.58,2006.0
200,assassins creed ii,Action,M,PS3,Ubisoft,9.0,5.57,2.54,1.95,0.21,0.86,2009.0
202,assassins creed,Action,M,X360,Ubisoft,8.2,5.55,3.28,1.64,0.07,0.56,2007.0
203,batman arkham city,Action,T,PS3,Warner Bros. Interactive,9.6,5.54,2.72,1.89,0.11,0.82,2011.0
204,forza motorsport 3,Racing,E,X360,Microsoft Game Studios,9.2,5.5,2.99,1.9,0.1,0.51,2009.0
214,crash bandicoot the wrath of cortex,Platform,E,PS2,Universal Interactive,6.9,5.42,2.07,2.29,0.24,0.82,2001.0
216,final fantasy xiii,Role Playing,T,PS3,Square Enix,8.0,5.35,1.75,1.23,1.87,0.51,2010.0
222,assassins creed ii,Action,M,X360,Ubisoft,9.1,5.3,3.14,1.55,0.08,0.52,2009.0
227,tomb raider ii,Adventure,T,PS,Eidos Interactive,7.6,5.24,2.3,2.46,0.2,0.28,1997.0
228,madden nfl 2004,Sports,E,PS2,EA Sports,9.5,5.23,4.26,0.26,0.01,0.71,2003.0
229,call of duty advanced warfare,Shooter,M,XOne,Activision,8.3,5.22,3.25,1.49,0.01,0.48,2014.0
237,medal of honor rising sun,Shooter,T,PS2,Electronic Arts,5.9,5.13,1.98,2.23,0.13,0.8,2003.0
243,resident evil 5,Action,M,PS3,Capcom,8.6,5.1,1.96,1.42,1.08,0.64,2009.0
244,fable iii,Role Playing,M,X360,Microsoft Game Studios,7.8,5.1,3.59,1.09,0.05,0.37,2010.0
245,mario amp sonic at the olympic games,Sports,E,DS,Sega,7.0,5.1,1.63,2.46,0.44,0.57,2008.0
246,grand theft auto vice city stories,Action,M,PSP,Rockstar Games,8.4,5.08,1.7,2.03,0.16,1.19,2006.0
247,fifa soccer 11,Sports,E,PS3,EA Sports,8.7,5.08,0.61,3.28,0.06,1.12,2010.0
249,final fantasy xv,Role Playing,T,PS4,Square Enix,8.1,5.07,1.81,1.53,1.05,0.68,2016.0
250,fallout 4,Role Playing,M,XOne,Bethesda Softworks,8.4,5.03,2.94,1.62,0.02,0.45,2015.0
251,tony hawks pro skater,Sports,T,PS,Activision,9.6,5.02,3.42,1.38,0.02,0.2,1999.0
253,spyro the dragon,Platform,E,PS,Sony Computer Entertainment,8.7,5.0,3.36,1.36,0.07,0.21,1998.0
260,guitar hero iii legends of rock,Misc,T,PS2,RedOctane,8.2,4.98,3.49,0.01,0.01,1.48,2007.0
